Player_Name, Player_Age, Yrs_in_League, Games, Minutes_Played, Field_Goals, FG_Attemps, 3_Points, 3_Points_Attempts, Free_Throws, FT_Attempts, Offensive_Rebounds, Total_Rebounds, Assists, Steals, Blocks, Turnovers, Personal_Fouls, Total_Points
Omari Johnson,28,1,4,75,9,21,4,12,0,0,4,11,7,2,0,3,6,22
Wesley Johnson,30,8,571,12938,1584,3900,589,1747,350,471,325,1852,622,454,390,507,1105,4107
Jalen Jones,24,1,16,181,26,68,10,26,12,19,13,38,4,5,1,7,22,74
Sean Kilpatrick,28,4,157,3082,545,1319,194,579,332,385,40,429,236,73,13,206,191,1616
Luke Kornet,22,1,20,326,49,125,28,79,8,11,11,64,26,6,16,12,28,134
Kosta Koufos,28,10,644,10769,1677,3124,0,4,403,686,1146,3275,323,276,488,452,1330,3757
Mindaugas Kuzminskas,28,2,69,1018,158,371,54,168,55,68,47,126,69,29,11,51,79,425
Shane Larkin,25,4,256,4880,545,1290,117,348,192,247,83,490,737,243,24,301,375,1399
Joffrey Lauvergne,26,4,208,2823,477,995,49,172,156,217,239,789,180,55,34,165,286,1159
Courtney Lee,32,10,753,21165,2868,6356,839,2157,947,1106,348,2041,1304,770,204,737,1274,7522
Walt Lemon, Jr.,25,1,5,35,7,16,1,1,2,3,0,2,5,0,1,4,5,17
Jon Leuer,28,7,336,5543,913,1910,124,370,289,376,330,1329,287,125,98,236,523,2239
DeAndre Liggins,29,5,177,1907,129,321,43,122,45,82,47,252,122,108,31,86,201,346
Timothe Luwawu-Cabarrot,22,2,121,1997,245,628,103,319,151,181,39,221,129,44,15,111,251,744
Josh Magette,28,1,18,216,15,46,8,22,8,8,2,19,57,8,1,9,16,46
Thon Maker,20,2,131,1800,213,497,59,178,97,142,115,339,69,48,79,61,246,582
Lauri Markkanen,20,1,68,2020,374,862,145,401,140,166,79,508,79,39,40,83,103,1033
Mangok Mathiang,25,1,4,20,4,7,0,0,0,1,3,10,0,1,0,0,5,8
James Michael McAdoo,25,4,111,874,133,252,5,17,63,118,79,188,37,33,47,42,108,334
Patrick McCaw,22,2,128,2035,198,470,60,203,55,71,37,182,158,75,25,77,129,511
Erik McCree,24,1,4,8,0,2,0,1,0,0,0,1,0,1,0,1,0,0
Chris McCullough,22,3,59,532,78,183,15,49,23,42,41,112,15,30,19,20,54,194
Trey McKinney-Jones,27,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Josh McRoberts,30,11,433,8271,914,1972,196,576,309,438,468,1686,901,222,194,381,817,2333
Jodie Meeks,30,9,531,12006,1644,3930,767,2060,882,1003,147,1108,575,412,35,408,627,4937
Salah Mejri,31,3,168,2031,225,352,1,7,101,173,223,677,59,62,164,102,327,552
Jordan Mickey,23,3,64,482,62,138,2,17,26,43,37,128,17,9,27,28,53,152
Malcolm Miller,24,1,15,126,13,28,8,21,4,4,4,15,3,1,2,5,10,38
Naz Mitrou-Long,24,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,3
Luis Montero,24,2,14,50,5,20,1,9,3,4,0,6,1,0,0,6,1,14
Ben Moore,22,1,2,9,0,0,0,0,0,0,0,1,1,0,0,0,4,0
Eric Moreland,26,3,78,855,70,129,0,0,13,33,84,290,79,31,55,45,121,153
Jaylen Morris,22,1,6,98,13,32,2,10,0,0,2,16,7,2,1,6,2,28
Johnathan Motley,22,1,11,176,40,75,1,6,15,28,14,49,7,3,2,9,18,96
Timofey Mozgov,31,8,454,8181,1230,2301,11,58,601,814,769,2225,250,139,383,527,998,3072
Emmanuel Mudiay,21,3,187,4719,741,1982,177,558,369,505,87,562,795,147,59,453,316,2028
Shabazz Muhammad,25,5,278,4772,940,1988,123,386,501,667,294,770,151,81,24,183,283,2504
Xavier Munford,25,2,20,265,33,83,9,25,8,16,4,32,26,14,3,17,29,83
Dejounte Murray,21,2,119,2065,320,725,18,57,126,178,116,501,279,105,37,172,180,784
Mike Muscala,26,5,243,3579,503,1025,129,341,173,204,239,758,212,93,124,157,330,1308
Abdel Nader,24,1,48,522,50,149,23,65,23,39,13,71,26,15,10,34,45,146
Shabazz Napier,26,4,233,3659,451,1143,193,532,231,288,60,399,444,176,21,258,236,1326
Jameer Nelson,35,14,878,24539,3790,8692,1153,3134,1207,1491,426,2595,4508,772,68,1831,2195,9940
Raul Neto,25,3,162,2343,290,660,93,240,86,114,28,199,283,96,11,160,208,759
Joakim Noah,32,11,625,17903,2134,4353,0,15,1301,1862,2078,5804,1811,513,842,1077,1769,5569
Lucas Nogueira,25,4,141,1754,182,288,9,34,73,114,120,388,72,89,144,75,221,446
Dirk Nowitzki,39,20,1471,50573,11034,23358,1918,5005,7201,8189,1463,11331,3616,1201,1263,2476,3525,31187
Johnny O'Bryant,24,4,147,1684,213,530,18,50,65,98,129,352,69,32,19,77,199,509
Emeka Okafor,35,10,616,19055,3004,5867,0,2,1362,2325,1954,5967,520,414,1003,984,1696,7370
Chinanu Onuaku,21,2,6,74,7,12,0,0,4,4,3,14,4,3,1,7,10,18
Marcus Paige,24,1,5,28,4,14,2,8,2,2,0,4,3,0,0,0,0,12
Georgios Papagiannis,20,2,39,477,74,144,0,2,12,14,37,123,29,7,23,32,56,160
Justin Patton,20,1,1,4,1,2,0,0,0,0,0,0,0,1,0,0,1,2
Brandon Paul,26,1,64,576,55,127,15,54,22,43,6,68,37,25,7,29,58,147
Adreian Payne,26,4,107,1403,174,429,15,59,66,97,79,315,66,45,27,90,203,429
Gary Payton,25,2,29,320,38,96,7,34,6,14,13,56,34,10,7,17,39,89
Kendrick Perkins,33,14,782,17162,1705,3219,0,14,804,1353,1305,4532,813,263,903,1233,2142,4214
London Perrantes,23,1,14,66,2,13,0,3,3,5,1,4,5,2,1,1,6,7
Alec Peters,22,1,20,225,28,74,18,58,8,10,8,37,12,2,2,4,13,82
Marshall Plumlee,25,2,29,222,17,33,0,0,20,35,27,68,12,4,5,15,33,54
Kristaps Porzingis,22,3,186,5764,1206,2760,283,785,617,767,305,1317,248,136,378,332,590,3312
Jacob Pullen,28,1,3,6,1,2,0,1,0,0,0,0,0,0,0,1,0,2
Rodney Purvis,23,1,16,290,35,107,13,52,13,15,1,27,17,3,3,10,26,96
Zhou Qi,22,1,18,124,6,32,2,19,8,12,6,22,2,2,14,10,14,22
Tim Quarterman,23,2,19,93,14,32,5,15,2,5,4,17,12,2,3,13,7,35
Ivan Rabb,20,1,36,516,86,152,0,0,29,36,53,158,32,12,13,35,55,201
Zach Randolph,36,17,1116,34616,7436,15774,199,729,3507,4592,3279,10208,2049,834,301,2290,2629,18578
Xavier Rathan-Mayes,23,1,5,118,12,42,1,14,4,9,0,5,18,6,3,11,18,29
Davon Reed,22,1,21,242,22,76,11,38,8,12,2,39,13,10,2,10,17,63
Willie Reed,27,3,152,1885,319,539,2,6,111,198,213,575,46,33,99,66,240,751
Andre Roberson,26,5,295,6651,563,1168,108,421,122,261,348,1188,257,264,195,181,641,1356
Devin Robinson,22,1,1,13,1,3,0,0,0,0,2,5,0,1,0,0,2,2
JaKarr Sampson,24,3,169,2635,330,744,50,200,153,232,102,431,132,69,81,154,325,863
Thabo Sefolosha,33,12,778,18017,1808,4025,464,1337,632,857,597,3036,1144,868,349,715,1334,4712
Ramon Sessions,31,11,691,16119,2406,5539,208,658,2121,2681,339,1840,2807,472,52,1173,942,7141
Xavier Silas,30,2,4,46,4,18,1,8,2,3,3,6,3,1,0,3,6,11
Kobi Simmons,20,1,32,643,80,189,11,39,25,25,14,50,68,18,5,44,61,196
Kyle Singler,29,6,356,7794,843,2015,299,826,341,434,317,1026,272,203,110,278,734,2326
Josh Smith,32,13,894,29000,5089,11247,450,1578,2368,3748,1717,6653,2789,1083,1713,2197,2461,12996
Marreese Speights,30,10,705,10640,2181,4750,232,651,998,1252,947,2875,461,189,356,614,1564,5592
David Stockton,26,2,6,42,4,9,3,5,7,10,0,2,9,2,0,5,4,18
Julyan Stone,29,4,70,502,28,63,10,32,14,20,10,77,77,16,8,25,56,80
Isaiah Taylor,23,2,71,1219,164,397,20,82,100,143,23,97,209,35,11,84,122,448
Marquis Teague,24,3,91,909,85,248,10,45,37,56,5,90,134,23,12,77,98,217
Mirza Teletovic,32,6,324,5765,927,2285,541,1460,241,319,189,1042,273,104,82,255,552,2636
Milos Teodosic,30,1,45,1134,151,360,88,232,39,46,16,126,209,23,5,97,103,429
Jason Terry,40,19,1410,42034,6914,15585,2282,6010,2771,3278,502,3274,5415,1603,275,2415,2577,18881
Isaiah Thomas,28,7,473,14076,2883,6572,921,2549,2236,2551,263,1207,2430,446,49,1126,1015,8923
Sindarius Thornwell,23,1,73,1156,100,233,23,61,59,88,33,140,68,48,25,53,125,282
Denzel Valentine,24,2,134,3071,403,1009,216,578,52,69,59,544,307,95,18,148,271,1074
Rashad Vaughn,21,3,139,1671,161,478,83,265,18,26,18,158,75,53,29,48,120,423
Dion Waiters,26,6,365,10490,1867,4533,451,1324,682,973,157,968,1022,358,98,681,720,4867
Tyrone Wallace,23,1,30,851,110,247,10,40,61,78,21,105,71,27,13,46,83,291
Derrick Walton,22,1,16,147,8,25,7,17,6,6,2,16,16,7,3,2,7,29
Jameel Warney,24,1,3,27,7,12,0,0,3,5,4,9,0,0,0,1,2,17
Travis Wear,27,2,68,900,109,281,28,77,28,34,31,144,47,19,16,41,85,274
James Webb,24,1,10,120,6,24,4,19,0,0,8,24,4,1,0,4,10,16
Briante Weber,25,3,45,611,58,142,5,26,22,30,24,86,64,39,9,32,56,143
David West,37,15,1034,29144,5703,11519,57,215,2571,3148,1784,6590,2273,764,850,1660,2408,14034
Andrew White,24,1,15,209,25,73,18,49,1,4,4,34,6,3,1,8,12,69
Derrick White,23,1,17,139,16,33,8,13,14,20,5,26,9,4,3,6,8,54
Okaro White,25,2,41,551,40,103,16,45,22,25,28,93,23,11,11,19,58,118
Isaiah Whitehead,22,2,89,1823,244,594,51,167,104,132,36,210,212,50,38,166,198,643
Jacob Wiley,23,1,5,33,1,4,1,2,1,2,2,11,2,1,0,0,4,4
Damien Wilkins,38,10,582,10991,1344,3157,205,627,711,908,441,1362,796,431,130,524,945,3604
Alan Williams,25,3,62,846,155,309,0,1,85,135,111,352,36,36,38,50,153,395
Derrick Williams,26,7,428,8864,1329,3064,251,838,900,1267,351,1693,293,199,108,399,532,3809
Matt Williams,24,1,3,11,2,6,1,5,0,0,0,1,0,0,0,1,1,5
Troy Williams,23,2,51,864,124,276,29,100,41,62,37,132,41,47,14,51,94,318
D.J. Wilson,21,1,22,71,9,16,2,5,1,2,2,10,3,3,1,4,7,21
Jamil Wilson,27,1,15,274,38,81,27,63,2,4,3,32,10,5,8,8,34,105
Justise Winslow,21,3,164,4537,482,1175,88,280,175,268,168,867,331,148,65,205,376,1227
Jeff Withey,27,5,206,2072,249,474,2,14,166,232,181,518,64,56,156,76,229,666
Nate Wolters,26,3,84,1575,191,452,18,69,61,96,42,185,209,43,17,70,86,461
Brandan Wright,30,10,428,6949,1271,2095,0,12,434,644,586,1560,199,198,425,202,574,2976
Delon Wright,25,3,123,2108,286,628,71,196,165,207,69,283,288,107,47,119,119,808
James Young,22,4,95,812,77,210,38,137,27,48,19,96,28,24,5,15,58,219
Joe Young,25,3,127,1077,168,427,40,135,53,69,19,130,119,33,1,64,74,429
Nick Young,32,11,716,16382,2891,6911,1036,2756,1367,1636,260,1426,685,394,134,709,1312,8185
Tyler Zeller,28,6,406,7157,1144,2250,10,34,527,690,623,1792,363,103,238,344,877,2825
Paul Zipser,23,2,98,1667,169,455,70,209,50,65,28,256,82,35,31,83,164,458
